Protein_ID,SLEC_HD_A0221011,SLEC_HD_A0221018,SLEC_HD_A0221024,SLEC_HD_A0221030,SLEC_HD_A0221031,SLEC_HD_A0221032,SLEC_HD_A0221035,SLEC_HD_A0221036,SLEC_HD_A0221039,SLEC_HD_A0221040,SLEC_HD_A0221044,SLEC_HD_A0221045,SLEC_HD_A0221051,SLEC_HD_A0221052,SLEC_HD_A0221055,SLEC_HD_A0221064,SLEC_HD_A0221065,SLEC_HD_A0221068,SLEC_HD_A0221100,SLEC_HD_A0221107,SLEC_HD_A0221108,SLEC_HD_A0221113,SLEC_HD_A0221114,SLEC_HD_A0221118,SLEC_HD_A0221123,SLEC_HD_A0221124,SLEC_HD_A0221136,SLEC_HD_A0221137,SLEC_HD_A0221153,SLEC_HD_A0221161,SLEC_HD_A0221162,SLEC_HD_A0221168,SLEC_HD_A0221169,SLEC_HD_A0222021,SLE_Ina_A0221023,SLE_Ina_A0221043,SLE_Ina_A0221049,SLE_Ina_A0221077,SLE_Ina_A0221109,SLE_Ina_A0221130,SLE_Ina_A0221149,SLE_Ina_A0221156,SLE_Mil_A0220988,SLE_Mil_A0220992,SLE_Mil_A0220995,SLE_Mil_A0221000,SLE_Mil_A0221002,SLE_Mil_A0221006,SLE_Mil_A0221012,SLE_Mil_A0221014,SLE_Mil_A0221022,SLE_Mil_A0221034,SLE_Mil_A0221050,SLE_Mil_A0221057,SLE_Mil_A0221090,SLE_Mil_A0221117,SLE_Mil_A0221142,SLE_Mil_A0221158,SLE_Mil_A0221583,SLE_Mod_A0220993,SLE_Mod_A0220997,SLE_Mod_A0221004,SLE_Mod_A0221029,SLE_Mod_A0221033,SLE_Mod_A0221062,SLE_Mod_A0221105,SLE_Mod_A0221579,SLE_Sev_A0221010
SL000318,8.62326282256698,8.88808918407877,9.01261579134671,9.56323128759293,8.27951386335778,8.0643584737498,9.28454047748606,10.0114556953626,8.06768162384569,9.85138606414923,8.68849439050722,10.2688082841439,10.0288032036649,8.05767822711974,8.05767822711974,8.74767485941509,9.29002474962507,8.80379975791806,9.09308326812722,9.30663762327436,9.01869097005244,9.43530033700198,9.03318815921304,11.0560876611214,11.0411315393937,9.83025683483835,9.0605996129232,9.27822969499036,8.46046642742625,8.11681107749717,8.19066571987362,8.80982781197259,9.27822969499036,9.5734264502503,8.41861915584339,8.2560888796858,8.91040255607439,10.9057959662157,9.88156633823257,10.34192907462,8.11681107749717,9.53966043934433,9.61892753610887,10.3543576859157,9.12068320229749,8.8940811592385,8.25849550423323,8.44220099167539,8.82814516423795,9.37929362256221,9.12756202030969,9.91675683042652,9.01261579134671,8.62326282256698,9.52440756509877,8.38099213018548,8.27951386335778,9.57828792190217,7.97305264349293,9.8403921514455,9.27190631667538,10.0825649596687,7.96099155897154,9.4188737939213,8.20803686822356,8.33779455334803,9.61272159058934,9.4188737939213
SL002662,10.5702363052265,9.8177918795119,9.89240860293806,10.0885570726978,9.28454047748606,10.0139766667652,10.3050848203662,10.7291109024377,9.91675683042652,9.62848123569854,9.61272159058934,10.4656642397932,9.17210922084388,10.288149587554,10.0139766667652,9.85763795930805,9.91110351639415,9.99803972487136,9.75595480818603,9.47660726522702,9.48977766768445,9.6027487632943,9.85138606414923,10.3593647987125,10.6518464857824,10.2568727521627,10.3759189568399,9.90167727515298,9.76052276752785,9.55308709146668,9.96454322188881,9.76606150268994,9.8177918795119,10.1736222428487,10.0934277261228,9.63682090963353,9.79335558739906,9.93788324637311,10.2101048518701,10.0139766667652,10.3050848203662,10.3931633232782,10.0825649596687,10.1631221023672,10.3480655747527,9.94371931314814,10.3106924147469,9.91110351639415,10.0658279529139,9.90167727515298,10.1903539797884,10.1792139037631,10.1177467293539,9.58924079695138,9.90869680828158,9.78763773052389,10.1946467466044,9.72348909804021,10.7005058708336,10.1388646083719,10.34192907462,10.1334682082053,10.3370765910954,9.61272159058934,10.3986199779774,8.54414299851598,10.6315104182482,9.81049382181853
SL003168,8.62993718873794,8.56095005489721,8.39946749042619,8.50511636060476,8.35748931076792,8.61046051887619,8.47771996864641,8.60379896669746,8.56095005489721,8.52323181633398,8.219650012383,8.38099213018548,8.51741168736823,8.60379896669746,8.51164848413297,8.56716864750607,8.47241944527821,8.45455659379608,8.43107882463373,8.44434357358291,8.48480338467769,8.46046642742625,8.38717086588692,8.59718897740447,8.219650012383,8.60379896669746,8.49208658227141,8.47241944527821,8.58811583032464,8.36867532456738,8.43107882463373,8.52323181633398,8.53064834659906,8.56095005489721,8.56095005489721,8.46046642742625,8.44648615549044,8.28617470480829,8.46046642742625,8.5909278308313,8.39646281666534,8.35122714609871,8.15535558441779,8.23568960023763,8.00145516415109,8.72506847244677,8.11681107749717,8.20159360354694,8.47771996864641,8.65586755119993,8.21370087195911,8.63635534198369,8.54414299851598,8.53740347833624,8.42509535266145,8.23903106940718,8.29632602771593,8.53740347833624,8.4993869945842,8.24417524777719,8.24417524777719,8.53064834659906,8.20159360354694,8.46679540265412,8.34423462587953,8.08382317185384,7.8388446020417,8.38099213018548
SL000403,15.4298356770355,15.2089859194564,15.0318970326514,14.611578128285,15.0050601367041,15.3528654797939,15.1757147543569,15.2768091383892,14.740186514618,15.2089859194564,15.0050601367041,14.9169952084059,15.1492988449128,15.1168339090769,14.9395337830221,14.8607507426285,15.1757147543569,14.9169952084059,15.3119309321804,14.6550075110061,14.6978658550413,15.0050601367041,14.611578128285,15.1492988449128,14.330733244283,15.0605545057968,15.7245938387826,14.6550075110061,14.6735263930159,15.5617096110817,15.1168339090769,14.226948768496,15.0050601367041,15.1168339090769,15.4704898334169,16.7334325208531,15.1492988449128,13.9693849833543,14.8895078246369,15.4298356770355,15.7844530094987,14.9395337830221,15.1757147543569,14.611578128285,14.740186514618,15.4704898334169,14.8607507426285,15.1492988449128,15.5133155778712,15.6526324594035,14.8376420813819,15.2089859194564,15.0854038009011,14.8895078246369,15.7245938387826,15.0050601367041,15.1168339090769,15.0854038009011,15.1492988449128,16.0302267679364,15.4298356770355,15.5617096110817,14.8895078246369,15.6131059592072,15.3119309321804,15.1168339090769,15.1492988449128,15.7245938387826
SL000591,8.8940811592385,8.67322980457635,8.53740347833624,8.96476385313361,8.4993869945842,8.91374298490829,8.73662088613965,9.12068320229749,8.63314626536082,8.90706212724048,8.62993718873794,8.73072902879642,8.79677183948275,9.11010229094667,8.32316108787287,8.81637062989577,9.38540394428478,8.69498369890437,8.71913281555674,8.74767485941509,8.62326282256698,8.71913281555674,8.73072902879642,8.78477626899938,8.42509535266145,8.83388914706014,8.90091269970683,8.90706212724048,8.64978479399201,8.77334986902053,8.72506847244677,8.95567233935019,8.71913281555674,8.98607695374803,9.0605996129232,9.93273421146896,8.57983768815092,9.05084572065237,8.86743833257413,8.67322980457635,8.85054031208981,8.52323181633398,8.66716163070198,8.66172991039315,9.25573626861492,8.99418742184533,9.16150683554324,9.06616992795932,8.80982781197259,8.99130827828975,8.91957559340644,8.81309922093418,8.62993718873794,8.82814516423795,9.13249943285766,9.51967714400578,8.77334986902053,8.92911911960554,8.91374298490829,8.83388914706014,8.74767485941509,9.54863644645545,9.0875695025531,9.01869097005244,8.87740331866309,8.87740331866309,8.27951386335778,9.50904975518877
SL000053,8.81637062989577,9.00160117668557,8.86743833257413,8.80982781197259,8.81637062989577,8.60379896669746,8.8441820783825,9.00658309845878,9.04030095890653,8.57368719215587,8.70744149825445,8.30892533624758,8.43676882856779,8.65586755119993,9.09308326812722,8.67322980457635,9.09955506157385,8.76795281761023,8.64978479399201,8.30892533624758,8.8940811592385,8.57368719215587,8.76165985314084,8.51164848413297,8.66172991039315,9.43530033700198,8.43107882463373,9.09308326812722,8.33779455334803,8.82288199346049,8.32316108787287,9.05564474127855,8.85054031208981,8.65586755119993,8.91957559340644,8.79677183948275,9.17210922084388,8.4993869945842,8.9970665654009,8.7011143447727,8.75469275298425,9.23407939245349,8.32017761374783,8.83874588954357,9.04030095890653,8.51164848413297,9.01261579134671,8.29632602771593,8.73662088613965,9.26667030795603,9.52440756509877,8.38717086588692,9.07083747981613,8.31734432385853,8.49208658227141,9.07083747981613,8.4993869945842,8.34423462587953,8.71913281555674,8.68000733506748,8.67322980457635,9.37929362256221,9.28454047748606,8.88251478358299,8.30551789463632,8.55458998702503,8.07100477394157,8.4993869945842
SL004332,5.93770516267464,6.8746685500689,6.28848967183069,6.05741933773983,5.95794294005785,6.03903350636047,6.01680485023029,6.09284748974993,6.05741933773983,5.99948070110977,5.95794294005785,5.98085547154159,6.12921143632218,6.08541656929461,6.19163463330551,5.99948070110977,6.28150043957375,6.03903350636047,7.41038988919329,6.12921143632218,5.95794294005785,6.01680485023029,6.12921143632218,5.95794294005785,6.24333899028854,6.05741933773983,6.07798564883928,6.07798564883928,6.09284748974993,5.99948070110977,5.99948070110977,6.43378621471713,6.05741933773983,6.16121279624743,5.98085547154159,6.02791917829538,5.95794294005785,6.03903350636047,6.05741933773983,6.07798564883928,5.98085547154159,6.07798564883928,6.01680485023029,6.28150043957375,6.54132543595566,6.24333899028854,5.93770516267464,6.03903350636047,6.05741933773983,6.03903350636047,5.9123951414203,6.07798564883928,6.21776601571997,6.00814277567003,6.05741933773983,6.38188778671929,6.03903350636047,5.98085547154159,6.39189253301701,6.03903350636047,6.30203937632808,5.93770516267464,5.98085547154159,5.99948070110977,6.08541656929461,5.98085547154159,6.03903350636047,6.16121279624743
SL000592,8.66172991039315,8.94383264259242,8.69173904470579,8.65586755119993,8.69498369890437,8.83388914706014,8.74767485941509,8.70744149825445,8.81637062989577,9.12068320229749,8.78477626899938,8.86743833257413,8.96027329835907,8.77334986902053,8.54965349014193,8.80379975791806,8.88530198383088,8.87740331866309,9.14890859669008,8.93944030170896,8.61389820844597,8.7011143447727,8.66716163070198,8.54414299851598,8.64269773385573,8.76165985314084,8.65586755119993,8.78477626899938,8.72506847244677,8.45455659379608,9.25055219476328,8.44648615549044,8.93416983747813,8.90091269970683,8.82288199346049,9.2954077604375,8.76795281761023,8.7137980057713,8.64978479399201,9.11010229094667,8.73662088613965,8.73662088613965,8.80379975791806,9.09308326812722,8.61733589801575,9.03043120877071,8.75469275298425,8.41138112621868,8.62993718873794,9.0875695025531,8.90091269970683,9.07642851489981,8.8940811592385,8.56095005489721,8.51164848413297,9.0463533152762,9.09955506157385,8.47771996864641,9.12068320229749,8.62993718873794,8.87740331866309,8.95567233935019,8.62993718873794,8.90706212724048,8.66172991039315,8.88808918407877,8.42509535266145,8.96027329835907
SL000584,10.4176888793992,10.3172033248848,10.2159517068996,10.4176888793992,10.0139766667652,10.245355018104,10.480127062791,10.7218116666439,10.5893461673368,10.2214665962362,10.6083209400952,10.2271445225221,10.4554635898002,10.6449407049876,10.0089347239601,10.34192907462,10.4252879061421,10.8419910939678,10.3050848203662,10.2992699365088,10.1792139037631,10.3593647987125,10.4607492340152,10.3370765910954,10.1683395744221,10.3986199779774,10.2049314585048,10.5231549143829,10.4932378394809,10.1903539797884,10.2992699365088,10.4607492340152,10.3931633232782,10.5302428397265,10.3480655747527,9.781149482805,10.0548601586653,10.2626703523644,10.0885570726978,9.98041423592519,10.0489109585754,10.2500722275802,9.83500242366526,9.70323113167193,10.4048212524697,10.0197943157165,10.3370765910954,9.96898229266104,10.2159517068996,10.0197943157165,9.98041423592519,9.9869804678269,10.2992699365088,10.0288032036649,10.3480655747527,10.0709008252574,10.1177467293539,10.4176888793992,10.0382549436449,9.94886087506821,9.77111197533938,9.9869804678269,10.2214665962362,9.91675683042652,10.1736222428487,9.69578247972378,9.15537622625333,10.0548601586653
SL003322,11.6612642365092,11.5776733764635,11.3327189109591,11.2736591867083,11.6400574259981,11.3917842869314,11.9443180984139,11.4982230884673,11.4378229364473,11.4192357708414,11.5862256062777,11.3594548742762,11.77807351469,11.2122575426203,11.6308257844991,11.5776733764635,11.5947726357143,11.4545275654332,11.7130868179076,11.7677764515988,11.3515512850331,11.1310383035466,11.7877647536082,11.4378229364473,11.5609881474218,11.5146280796363,11.6953914680137,11.9191738253693,12.2203096036194,12.067374543457,12.4425447212773,11.7231344297452,11.8146676355274,12.2319383502035,10.8040119021987,11.6308257844991,11.0627700428676,11.0411315393937,11.3251265628509,11.4463453899314,11.4463453899314,12.0308032976418,11.0779560968184,12.2985083926949,12.1661001847324,12.1026719673115,11.2178745091183,11.7401158108205,10.9351213010174,11.703558867393,11.797127921682,11.8905971776612,11.3327189109591,11.9191738253693,10.7648993072663,11.823649520098,12.1341694837306,12.048985935692,11.952589032741,11.6308257844991,12.3115162984707,12.3680931874717,11.3078481177863,11.8053403450061,11.3692926936708,11.5058890824391,11.8905971776612,11.823649520098
